"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"RILYP","B. Riley Financial, Inc.","25.44","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyp",
"RILYZ","B. Riley Financial, Inc.","25.32","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyz",
"BOSC","B.O.S. Better Online Solutions","2.1465","$9.14M","n/a","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/bosc",
"BIDU","Baidu, Inc.","134.57","$46.63B","2005","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/bidu",
"BCPC","Balchem Corporation","112.06","$3.6B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/bcpc",
"BLDP","Ballard Power Systems, Inc.","11.36","$2.66B","n/a","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/bldp",
"BANF","BancFirst Corporation","60.14","$1.97B","1993","Finance","Major Banks","https://old.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","27.8748","$27.87M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/banfp",
"BCTF","Bancorp 34, Inc.","15.6929","$50.36M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/bctf",
"BAND","Bandwidth Inc.","75.33","$1.77B","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/band",
"BFC","Bank First Corporation","63.33","$447.5M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bfc",
"BOCH","Bank of Commerce Holdings (CA)","11.26","$204.22M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/boch",
"BMRC","Bank of Marin Bancorp","44.3","$601.46M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bmrc",
"BMLP","Bank Of Montreal","42.7478","$29.07M","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bmlp",
